YEAR,COUNTY,HOSPITAL,OSHPDID,Procedure/Condition,Risk Adjuested Mortality Rate,# of Deaths,# of Cases,Hospital Ratings,LONGITUDE,LATITUDE
2016,Alameda,Alameda Hospital,106010735,PCI,.,.,.,,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Pancreatic Cancer,.,.,.,,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Pancreatic Other,.,.,.,,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Pancreatic Resection,.,.,.,,-122.253991,37.76266
2016,Alameda,Alameda Hospital,106010735,Pneumonia,3,2,76,As Expected,-122.253991,37.76266
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,AAA Repair Unruptured,.,.,.,,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,AMI,4.6,1,18,As Expected,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke,9,24,216,As Expected,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Hemorrhagic,22.2,20,85,As Expected,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Ischemic,1.6,1,126,As Expected,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Subarachnoid,34.1,3,5,As Expected,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Carotid Endarterectomy,.,.,.,,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Espophageal Resection,.,.,.,,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,GI Hemorrhage,4.7,8,233,As Expected,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Heart Failure,1.3,3,268,As Expected,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Hip Fracture,0,0,90,As Expected,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,PCI,.,.,.,,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Cancer,.,.,.,,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Other,.,.,.,,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Resection,.,.,.,,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pneumonia,0.9,1,99,As Expected,-122.25743,37.85645
2016,Alameda,Highland Hospital,106010846,AAA Repair Unruptured,.,.,.,,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,AMI,10.5,12,158,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Acute Stroke,10.6,17,147,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Acute Stroke Hemorrhagic,29.4,10,36,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Acute Stroke Ischemic,5.8,6,106,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Acute Stroke Subarachnoid,10.2,1,5,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Carotid Endarterectomy,0,0,5,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Espophageal Resection,0,0,3,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,GI Hemorrhage,4.4,4,147,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Heart Failure,0.7,1,317,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Hip Fracture,3.6,1,38,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,PCI,10.1,10,132,Worse,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Pancreatic Cancer,.,.,.,,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Pancreatic Other,0,0,4,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Pancreatic Resection,0,0,4,As Expected,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Pneumonia,0,0,127,As Expected,-122.23138,37.79925
2016,Alameda,Alta Bates Summit Medical Center,106010937,AAA Repair Unruptured,,,,,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,AMI,4.9,19,454,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Acute Stroke,9,17,303,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Acute Stroke Hemorrhagic,13.9,3,24,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Acute Stroke Ischemic,5.5,13,278,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Acute Stroke Subarachnoid,.,.,.,,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Carotid Endarterectomy,0,0,12,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Espophageal Resection,.,.,.,,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,GI Hemorrhage,1.7,4,301,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Heart Failure,2.2,15,613,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Hip Fracture,1.3,2,119,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,PCI,3,13,371,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Pancreatic Cancer,0,0,5,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Pancreatic Other,0,0,6,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Pancreatic Resection,0,0,11,As Expected,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Pneumonia,2.4,5,186,As Expected,-122.26257,37.82106
2016,Alameda,Saint Rose Hospital,106010967,AAA Repair Unruptured,,,,,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,AMI,8.3,11,221,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Acute Stroke,23.3,4,60,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Acute Stroke Hemorrhagic,.,.,.,,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Acute Stroke Ischemic,11,3,58,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Acute Stroke Subarachnoid,.,.,.,,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Carotid Endarterectomy,.,.,.,,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Espophageal Resection,.,.,.,,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,GI Hemorrhage,4,6,137,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Heart Failure,3.4,6,219,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Hip Fracture,0,0,22,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,PCI,4.9,5,175,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Pancreatic Cancer,.,.,.,,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Pancreatic Other,.,.,.,,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Pancreatic Resection,.,.,.,,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Pneumonia,6.7,7,170,As Expected,-122.08962,37.63291
2016,Alameda,Washington Hospital – Fremont,106010987,AAA Repair Unruptured,,,,,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,AMI,5.1,9,211,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Acute Stroke,9.6,23,283,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Acute Stroke Hemorrhagic,21.5,12,67,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Acute Stroke Ischemic,5.3,8,196,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Acute Stroke Subarachnoid,27.5,3,20,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Carotid Endarterectomy,0,0,29,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Espophageal Resection,.,.,.,,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,GI Hemorrhage,2.1,5,314,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Heart Failure,4.4,15,395,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Hip Fracture,5.1,2,79,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,PCI,4.1,6,174,As Expected,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Pancreatic Cancer,.,.,.,,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Pancreatic Other,.,.,.,,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Pancreatic Resection,.,.,.,,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Pneumonia,5.2,13,300,As Expected,-121.98006,37.55847
2016,Alameda,San Leandro Hospital,106013619,AAA Repair Unruptured,,,,,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,AMI,0,0,15,As Expected,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Acute Stroke,12.9,3,36,As Expected,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Acute Stroke Hemorrhagic,.,.,.,,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Acute Stroke Ischemic,7,2,34,As Expected,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Acute Stroke Subarachnoid,.,.,.,,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Carotid Endarterectomy,0,0,17,As Expected,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Espophageal Resection,.,.,.,,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,GI Hemorrhage,4.7,3,91,As Expected,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Heart Failure,2.2,4,255,As Expected,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Hip Fracture,0,0,19,As Expected,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,PCI,.,.,.,,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Pancreatic Cancer,.,.,.,,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Pancreatic Other,.,.,.,,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Pancreatic Resection,.,.,.,,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Pneumonia,2.4,1,113,As Expected,-122.14067,37.71364
2016,Alameda,Valleycare Medical Center,106014050,AAA Repair Unruptured,,,,,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,AMI,10.8,13,141,Worse,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Acute Stroke,16.6,7,77,As Expected,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Acute Stroke Hemorrhagic,96.4,4,5,Worse,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Acute Stroke Ischemic,1.9,1,70,As Expected,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Acute Stroke Subarachnoid,.,.,.,,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Carotid Endarterectomy,0,0,6,As Expected,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Espophageal Resection,.,.,.,,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,GI Hemorrhage,3.3,4,150,As Expected,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Heart Failure,1.6,5,291,As Expected,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Hip Fracture,0,0,79,As Expected,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,PCI,6.8,4,112,As Expected,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Pancreatic Cancer,.,.,.,,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Pancreatic Other,.,.,.,,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Pancreatic Resection,.,.,.,,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Pneumonia,3.6,9,224,As Expected,-121.88095,37.69206
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,AAA Repair Unruptured,.,.,.,,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,AMI,5.2,3,56,As Expected,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Acute Stroke,7.3,9,115,As Expected,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Acute Stroke Hemorrhagic,18.3,4,27,As Expected,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Acute Stroke Ischemic,4.5,4,84,As Expected,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Acute Stroke Subarachnoid,10.3,1,4,As Expected,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Carotid Endarterectomy,.,.,.,,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Espophageal Resection,.,.,.,,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,GI Hemorrhage,3,3,101,As Expected,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Heart Failure,4,9,152,As Expected,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Hip Fracture,0,0,83,As Expected,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,PCI,8.1,2,19,As Expected,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Pancreatic Cancer,.,.,.,,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Pancreatic Other,.,.,.,,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Pancreatic Resection,.,.,.,,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Pneumonia,1,1,93,As Expected,-121.97483,37.55055
2016,Alameda,Eden Medical Center,106014233,AAA Repair Unruptured,,,,,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,AMI,4.9,2,37,As Expected,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Acute Stroke,7.8,61,533,As Expected,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Acute Stroke Hemorrhagic,13.9,18,118,Better,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Acute Stroke Ischemic,4.5,24,342,As Expected,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Acute Stroke Subarachnoid,25.7,19,73,As Expected,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Carotid Endarterectomy,0,0,12,As Expected,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Espophageal Resection,.,.,.,,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,GI Hemorrhage,2,4,189,As Expected,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Heart Failure,0.8,2,235,Better,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Hip Fracture,2.2,3,109,As Expected,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,PCI,.,.,.,,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Pancreatic Cancer,.,.,.,,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Pancreatic Other,.,.,.,,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Pancreatic Resection,.,.,.,,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Pneumonia,3.7,6,128,As Expected,-122.0874055,37.6983769
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,AAA Repair Unruptured,,,,,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,AMI,4.6,11,182,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Acute Stroke,8.1,30,502,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Acute Stroke Hemorrhagic,16,11,92,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Acute Stroke Ischemic,4.9,17,406,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Acute Stroke Subarachnoid,21.4,2,4,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Carotid Endarterectomy,0,0,16,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Espophageal Resection,0,0,6,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,GI Hemorrhage,2.6,8,313,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Heart Failure,2.5,23,836,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Hip Fracture,2.9,3,148,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,PCI,10.2,4,37,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Pancreatic Cancer,2,1,39,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Pancreatic Other,0,0,37,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Pancreatic Resection,1.5,1,76,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Pneumonia,4.7,9,179,As Expected,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,AAA Repair Unruptured,2.4,1,23,As Expected,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,AMI,9.4,11,80,As Expected,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Acute Stroke,8.8,15,205,As Expected,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Acute Stroke Hemorrhagic,14.2,4,38,As Expected,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Acute Stroke Ischemic,5.6,10,164,As Expected,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Acute Stroke Subarachnoid,29.8,1,3,As Expected,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Carotid Endarterectomy,0,0,36,As Expected,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Espophageal Resection,.,.,.,,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,GI Hemorrhage,7.8,8,147,Worse,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Heart Failure,5.2,14,284,Worse,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Hip Fracture,5.1,5,119,As Expected,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,PCI,.,.,.,,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Pancreatic Cancer,.,.,.,,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Pancreatic Other,.,.,.,,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Pancreatic Resection,.,.,.,,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Pneumonia,3.2,5,141,As Expected,-122.16917,37.70611
2016,Amador,Sutter Amador Hospital,106034002,AAA Repair Unruptured,.,.,.,,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,AMI,11,2,9,As Expected,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Acute Stroke,14.3,5,70,As Expected,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Acute Stroke Hemorrhagic,44.1,2,6,As Expected,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Acute Stroke Ischemic,6.7,3,64,As Expected,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Acute Stroke Subarachnoid,.,.,.,,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Carotid Endarterectomy,.,.,.,,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Espophageal Resection,.,.,.,,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,GI Hemorrhage,0,0,63,As Expected,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Heart Failure,8,6,62,Worse,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Hip Fracture,0,0,43,As Expected,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,PCI,.,.,.,,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Pancreatic Cancer,.,.,.,,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Pancreatic Other,.,.,.,,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Pancreatic Resection,.,.,.,,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Pneumonia,2.2,1,78,As Expected,-120.77272,38.34743
2016,Butte,Orchard Hospital,106040802,AAA Repair Unruptured,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,AMI,0,0,6,As Expected,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Acute Stroke,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Acute Stroke Hemorrhagic,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Acute Stroke Ischemic,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Acute Stroke Subarachnoid,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Carotid Endarterectomy,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Espophageal Resection,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,GI Hemorrhage,0,0,7,As Expected,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Heart Failure,3.8,1,36,As Expected,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Hip Fracture,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,PCI,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Pancreatic Cancer,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Pancreatic Other,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Pancreatic Resection,.,.,.,,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Pneumonia,0,0,32,As Expected,-121.68955,39.36701
2016,Butte,Feather River Hospital,106040875,AAA Repair Unruptured,.,.,.,,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,AMI,0,0,31,As Expected,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Acute Stroke,8,3,76,As Expected,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Acute Stroke Hemorrhagic,46.9,2,4,As Expected,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Acute Stroke Ischemic,2,1,72,As Expected,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Acute Stroke Subarachnoid,.,.,.,,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Carotid Endarterectomy,0,0,10,As Expected,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Espophageal Resection,.,.,.,,-121.57228,39.75743
